CPUs, time, speedup
1, 29.94, 1.000
2, 17.32, 1.728
3, 13.61, 2.199
4, 11.53, 2.596
5, 12.41, 2.412
6, 12.16, 2.462
7, 11.48, 2.608
8, 12.04, 2.486
9, 10.69, 2.800
10, 10.17, 2.943
11, 9.85, 3.039
12, 9.65, 3.102
13, 8.96, 3.341
14, 8.65, 3.461
15, 8.65, 3.461
16, 8.90, 3.364
