CPUs, time, speedup
1, 54.37, 1.000
2, 28.01, 1.941
3, 20.08, 2.707
4, 15.05, 3.612
5, 13.04, 4.169
6, 11.05, 4.920
7, 9.83, 5.531
8, 8.67, 6.271
9, 8.45, 6.434
10, 8.09, 6.720
11, 7.81, 6.961
12, 7.55, 7.201
13, 7.44, 7.307
14, 7.36, 7.387
15, 7.11, 7.646
16, 6.45, 8.429
17, 6.29, 8.643
18, 5.98, 9.091
19, 5.83, 9.325
20, 5.73, 9.488
21, 5.59, 9.726
22, 5.38, 10.105
23, 5.70, 9.538
24, 5.58, 9.743
