CPUs, time, speedup
1, 31.25, 1.000
2, 18.90, 1.653
3, 14.40, 2.170
4, 12.02, 2.599
5, 11.65, 2.682
6, 10.21, 3.060
7, 9.64, 3.241
8, 9.47, 3.299
9, 9.52, 3.282
10, 9.21, 3.393
11, 8.89, 3.515
12, 8.68, 3.600
13, 8.41, 3.715
14, 8.24, 3.792
15, 8.13, 3.843
16, 7.72, 4.047
