CPUs, time, speedup
1, 30.84, 1.000
2, 17.70, 1.742
3, 13.66, 2.257
4, 11.00, 2.803
5, 11.62, 2.654
6, 10.95, 2.816
7, 10.57, 2.917
8, 10.15, 3.038
9, 10.10, 3.053
10, 9.88, 3.121
11, 9.36, 3.294
12, 9.09, 3.392
13, 8.93, 3.453
14, 8.72, 3.536
15, 8.64, 3.569
16, 8.20, 3.760
