CPUs, time, speedup
1, 23.77, 1.000
2, 12.45, 1.909
3, 9.07, 2.620
4, 6.90, 3.444
5, 5.98, 3.974
6, 5.10, 4.660
7, 4.63, 5.133
8, 4.26, 5.579
9, 4.17, 5.700
10, 4.05, 5.869
11, 3.85, 6.174
12, 3.70, 6.424
13, 3.63, 6.548
14, 3.61, 6.584
15, 3.51, 6.772
16, 3.34, 7.116
17, 3.28, 7.246
18, 3.21, 7.404
19, 3.18, 7.474
20, 3.11, 7.643
