CPUs, time, speedup
1, 30.71, 1.000
2, 17.76, 1.729
3, 14.03, 2.188
4, 11.50, 2.670
5, 12.24, 2.508
6, 11.02, 2.786
7, 10.26, 2.993
8, 9.57, 3.208
9, 9.58, 3.205
10, 9.29, 3.305
11, 8.96, 3.427
12, 8.46, 3.630
13, 8.50, 3.612
14, 8.47, 3.625
15, 8.43, 3.642
16, 8.27, 3.713
