CPUs, time, speedup
1, 48.58, 1.000
2, 26.04, 1.865
3, 18.62, 2.609
4, 15.00, 3.238
5, 13.14, 3.697
6, 12.68, 3.831
7, 12.15, 3.998
8, 11.55, 4.206
9, 11.50, 4.224
10, 11.32, 4.291
11, 10.98, 4.424
12, 11.17, 4.349
