CPUs, time, speedup
1, 33.79, 1.000
2, 20.05, 1.685
3, 16.34, 2.067
4, 13.10, 2.579
5, 12.66, 2.669
6, 11.79, 2.865
7, 11.27, 2.998
8, 10.49, 3.221
9, 10.16, 3.325
10, 10.15, 3.329
11, 9.48, 3.564
12, 9.49, 3.560
