CPUs, time, speedup
1, 23.79, 1.000
2, 12.45, 1.910
3, 9.03, 2.634
4, 6.82, 3.488
5, 5.99, 3.971
6, 5.13, 4.637
7, 4.65, 5.116
8, 4.16, 5.718
9, 4.16, 5.718
10, 4.01, 5.932
11, 3.87, 6.147
12, 3.81, 6.244
13, 3.69, 6.447
14, 3.61, 6.590
15, 3.59, 6.626
16, 3.33, 7.144
17, 3.33, 7.144
18, 3.29, 7.231
19, 3.21, 7.411
20, 3.25, 7.320
21, 3.18, 7.481
22, 3.16, 7.528
23, 3.21, 7.411
24, 3.21, 7.411
25, 3.13, 7.600
26, 3.14, 7.576
27, 3.09, 7.699
28, 3.09, 7.699
