CPUs, time, speedup
1, 24.41, 1.000
2, 11.59, 2.106
3, 8.87, 2.751
4, 8.42, 2.899
5, 5.54, 4.406
6, 4.74, 5.149
7, 4.70, 5.193
8, 4.27, 5.716
9, 3.86, 6.323
10, 3.79, 6.440
11, 3.91, 6.242
12, 5.19, 4.703
13, 3.75, 6.509
14, 3.64, 6.706
15, 3.60, 6.780
16, 3.37, 7.243
17, 3.35, 7.286
18, 3.10, 7.874
19, 2.99, 8.163
20, 2.98, 8.191
21, 3.50, 6.974
22, 3.20, 7.628
23, 3.21, 7.604
24, 3.03, 8.056
25, 2.90, 8.417
26, 3.10, 7.874
27, 3.12, 7.823
28, 3.16, 7.724
