CPUs, time, speedup
1, 32.02, 1.000
2, 18.58, 1.723
3, 14.16, 2.261
4, 11.20, 2.858
5, 10.73, 2.984
6, 9.76, 3.280
7, 9.24, 3.465
8, 8.63, 3.710
9, 8.12, 3.943
10, 7.82, 4.094
11, 7.48, 4.280
12, 7.25, 4.416
