CPUs, time, speedup
1, 22.74, 1.000
2, 13.62, 1.669
3, 8.34, 2.726
4, 6.63, 3.429
5, 5.92, 3.841
6, 4.68, 4.858
7, 4.56, 4.986
8, 4.09, 5.559
9, 4.06, 5.600
10, 3.68, 6.179
11, 3.58, 6.351
12, 3.63, 6.264
13, 3.58, 6.351
14, 3.53, 6.441
15, 3.27, 6.954
16, 3.07, 7.407
17, 3.18, 7.150
18, 3.21, 7.084
19, 3.09, 7.359
20, 2.90, 7.841
